ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
35901,92,neuilly-sur-seine,NEUILLY-SUR-SEINE,neuilly sur seine,Neuilly-sur-Seine,N42625,NLSRSN,92200,051,92051,2,98,5,61754,59874,60300,16556,3.73,2.26667,48.8833,-77,54319,+21603,485314,27,39
35902,92,chatillon-92,CHATILLON,chatillon,Châtillon,C345,XTLN,92320,020,92020,1,10,5,32619,28592,32500,11170,2.92,2.28333,48.8,-53,54224,+21719,484804,78,164
35903,92,bois-colombes,BOIS-COLOMBES,bois colombes,Bois-Colombes,B24512,BSKLMS,92270,009,92009,2,05,5,29284,23902,27800,15252,1.92,2.26667,48.9167,-76,54353,+21606,485503,28,43
35904,92,puteaux,PUTEAUX,puteaux,Puteaux,P320,PTKS,92800,062,92062,2,33,5,44753,40871,44500,14029,3.19,2.23333,48.8667,-109,54316,+21417,485303,29,78
35905,92,clamart,CLAMART,clamart,Clamart,C4563,KLMRT,92140,023,92023,1,90,5,52546,48619,51400,5991,8.77,2.26667,48.8,-83,54223,+21543,484803,64,175
35906,92,meudon,MEUDON,meudon,Meudon,M350,MTN,92190-92360,048,92048,3,96,5,45058,43694,44700,4551,9.9,2.24167,48.8083,-107,54231,+21425,484827,28,179
35907,92,marnes-la-coquette,MARNES-LA-COQUETTE,marnes la coquette,Marnes-la-Coquette,M652423,MRNSLKKT,92430,047,92047,3,11,6,1647,1504,1700,473,3.48,2.175,48.8333,-177,54256,+21038,484949,105,178
35908,92,issy-les-moulineaux,ISSY-LES-MOULINEAUX,issy les moulineaux,Issy-les-Moulineaux,I2425452,ISLSMLNKS,92130,040,92040,3,94,5,64355,52642,63300,15142,4.25,2.26667,48.8167,-75,54248,+21609,484923,28,96
35909,92,vaucresson,VAUCRESSON,vaucresson,Vaucresson,V2625,FKRSN,92420,076,92076,3,11,6,8615,8130,8600,2797,3.08,2.175,48.8333,-204,54269,+20910,485033,132,178
35910,92,rueil-malmaison,RUEIL-MALMAISON,rueil malmaison,Rueil-Malmaison,R454525,RLMLMSN,92500,063,92063,2,99,5,79426,73599,78100,5403,14.7,2.2,48.8833,-165,54309,+21118,485240,24,164
35911,92,antony,ANTONY,antony,Antony,A535,ANTN,92160,002,92002,1,87,4,61793,59849,61200,6463,9.56,2.3,48.75,-44,54170,+21748,484512,45,103
35912,92,plessis-robinson,LE PLESSIS-ROBINSON,le plessis robinson,Le Plessis-Robinson,L14261525,LPLSSRBNSN,92350,060,92060,1,32,5,27727,21614,24700,8083,3.43,2.26667,48.7833,-81,54204,+21549,484660,86,172
35913,92,levallois-perret,LEVALLOIS-PERRET,levallois perret,Levallois-Perret,L142163,LFLSPRT,92300,044,92044,2,95,5,64253,54750,63000,26660,2.41,2.28333,48.9,-54,54326,+21716,485336,23,34
35914,92,boulogne-billancourt,BOULOGNE-BILLANCOURT,boulogne billancourt,Boulogne-Billancourt,B425145263,BLKNBLNKRT,92100,012,92012,3,89,4,114205,106316,112200,18509,6.17,2.25,48.8333,-106,54262,+21429,485007,28,40
35915,92,asnieres-sur-seine,ASNIERES-SUR-SEINE,asnieres sur seine,Asnières-sur-Seine,A2562625,ASNRSSRSN,92600,004,92004,2,88,5,82327,75832,81700,17080,4.82,2.28556,48.9112,-57,54346,+21708,485440,22,43
35916,92,colombes,COLOMBES,colombes,Colombes,C4512,KLMS,92700,025,92025,2,92,5,85398,76690,83700,10934,7.81,2.25,48.9167,-94,54360,+21508,485525,23,44
35917,92,fontenay-aux-roses,FONTENAY-AUX-ROSES,fontenay aux roses,Fontenay-aux-Roses,F535262,FNTNKSRSS,92260,032,92032,1,43,5,23351,23547,24100,9303,2.51,2.28333,48.7833,-57,54210,+21708,484721,58,164
35918,92,garches,GARCHES,garches,Garches,G620,KRXS,92380,033,92033,2,18,5,18169,18026,18200,6754,2.69,2.18333,48.8417,-166,54273,+21113,485044,98,164
35919,92,villeneuve-la-garenne,VILLENEUVE-LA-GARENNE,villeneuve la garenne,Villeneuve-la-Garenne,V4514265,FLNFLKRN,92390,078,92078,2,40,5,25183,22308,24700,7869,3.2,2.33333,48.9333,-10,54375,+21940,485614,22,31
35920,92,courbevoie,COURBEVOIE,courbevoie,Courbevoie,C610,KRBF,92400,026,92026,2,93,5,87469,69665,85100,20975,4.17,2.25222,48.8973,-94,54330,+21508,485350,25,56
