ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
31816,78,tilly-78,TILLY,tilly,Tilly,T400,TL,78790,618,78618,1,8,6,542,440,500,69,7.8,1.575,48.8833,-845,54314,13433,485256,109,152
31698,78,chanteloup-les-vignes,CHANTELOUP-LES-VIGNES,chanteloup les vignes,Chanteloup-les-Vignes,C5341421252,XNTLPLSFKNS,78570,138,78138,3,39,6,9626,9535,9300,2890,3.33,2.03333,48.9833,-340,54420,20151,485842,38,171
31699,78,vieille-eglise-en-yvelines,VIEILLE-EGLISE-EN-YVELINES,vieille eglise en yvelines,Vieille-Église-en-Yvelines,V424251452,FLKLSNFLNS,78125,655,78655,2,18,6,811,742,800,84,9.6,1.87583,48.6695,-512,54077,15233,484010,161,177
31700,78,sainte-mesme,SAINTE-MESME,sainte mesme,Sainte-Mesme,S53525,SNTMSM,78730,569,78569,2,19,6,942,863,900,115,8.16,1.95604,48.5299,-420,53923,15732,483150,96,162
31701,78,chambourcy,CHAMBOURCY,chambourcy,Chambourcy,C5162,XMRS,78240,133,78133,3,21,6,5872,5071,6000,746,7.87,2.03333,48.9,-329,54340,20225,485422,64,176
31702,78,chaufour-les-bonnieres,CHAUFOUR-LES-BONNIERES,chaufour les bonnieres,Chaufour-lès-Bonnières,C16421562,XFRLSBNRS,78270,147,78147,1,2,6,422,413,400,139,3.02,1.48333,49.0167,-948,54462,12900,490058,133,158
31703,78,tertre-saint-denis,LE TERTRE-SAINT-DENIS,le tertre saint denis,Le Tertre-Saint-Denis,L363625352,LTRTRSNTTNS,78980,608,78608,1,2,6,114,101,100,39,2.91,1.61667,48.9333,-812,54376,13620,485619,123,168
31704,78,breviaires,LES BREVIAIRES,les breviaires,Bréviaires,L216162,LSBRFRS,78610,108,78108,2,18,6,1261,1025,1100,64,19.55,1.81667,48.7,-581,54120,14850,484228,139,186
31705,78,boissy-mauvoisin,BOISSY-MAUVOISIN,boissy mauvoisin,Boissy-Mauvoisin,B25125,BSMFSN,78200,82,78082,1,2,6,624,524,600,122,5.11,1.58333,48.9667,-843,54403,13439,485746,70,163
31706,78,conde-sur-vesgre,CONDE-SUR-VESGRE,conde sur vesgre,Condé-sur-Vesgre,C5326126,KNTSRFSKR,78113,171,78171,1,8,6,1139,1043,1100,106,10.71,1.66667,48.7333,-751,54157,13939,484430,105,175
31707,78,boinville-en-mantois,BOINVILLE-EN-MANTOIS,boinville en mantois,Boinville-en-Mantois,B514532,BNFLNMNTS,78930,70,78070,1,7,6,312,295,300,63,4.93,1.76667,48.9333,-644,54367,14525,485550,56,145
31708,78,orcemont,ORCEMONT,orcemont,Orcemont,O6253,ORSMNT,78125,464,78464,2,18,6,847,827,900,80,10.49,1.81667,48.5833,-584,53987,14838,483517,142,169
31709,78,rennemoulin,RENNEMOULIN,rennemoulin,Rennemoulin,R545,RNMLN,78590,518,78518,3,22,6,111,128,100,49,2.22,2.05,48.8333,-326,54260,20235,485001,86,125
31710,78,adainville,ADAINVILLE,adainville,Adainville,A3514,ATNFL,78113,6,78006,1,8,6,759,824,800,74,10.16,1.65,48.7167,-760,54137,13910,484322,105,184
31711,78,oinville-sur-montcient,OINVILLE-SUR-MONTCIENT,oinville sur montcient,Oinville-sur-Montcient,O5142653253,ONFLSRMNTSNT,78250,460,78460,1,10,6,1115,1131,1100,288,3.87,1.85,49.0333,-541,54475,15058,490140,36,135
31712,78,bazainville,BAZAINVILLE,bazainville,Bazainville,B2514,BSNFL,78550,48,78048,1,8,6,1425,1191,1400,118,12.03,1.66667,48.8,-743,54227,14004,484814,99,183
31713,78,meulan-en-yvelines,MEULAN-EN-YVELINES,meulan en yvelines,Meulan-en-Yvelines,M451452,MLNNFLNS,78250,401,78401,1,14,5,8855,8402,8700,2559,3.46,1.9,49.0167,-478,54451,15423,490022,18,117
31714,78,rambouillet,RAMBOUILLET,rambouillet,Rambouillet,R5143,RMLT,78120,517,78517,2,18,4,26159,24789,25800,743,35.19,1.83333,48.65,-563,54049,14948,483837,140,177
31715,78,marcq-78,MARCQ,marcq,Marcq,M620,MRKK,78770,364,78364,2,15,6,707,596,700,149,4.72,1.81667,48.8667,-575,54288,14908,485134,117,172
31716,78,montesson,MONTESSON,montesson,Montesson,M325,MNTSN,78360,418,78418,3,30,6,15193,13754,15100,2064,7.36,2.15,48.9167,-208,54343,20858,485431,23,56
35901,92,neuilly-sur-seine,NEUILLY-SUR-SEINE,neuilly sur seine,Neuilly-sur-Seine,N42625,NLSRSN,92200,51,92051,2,98,5,61754,59874,60300,16556,3.73,2.26667,48.8833,-77,54319,21603,485314,27,39
35902,92,chatillon-92,CHATILLON,chatillon,Châtillon,C345,XTLN,92320,20,92020,1,10,5,32619,28592,32500,11170,2.92,2.28333,48.8,-53,54224,21719,484804,78,164
35903,92,bois-colombes,BOIS-COLOMBES,bois colombes,Bois-Colombes,B24512,BSKLMS,92270,9,92009,2,5,5,29284,23902,27800,15252,1.92,2.26667,48.9167,-76,54353,21606,485503,28,43
35904,92,puteaux,PUTEAUX,puteaux,Puteaux,P320,PTKS,92800,62,92062,2,33,5,44753,40871,44500,14029,3.19,2.23333,48.8667,-109,54316,21417,485303,29,78
35905,92,clamart,CLAMART,clamart,Clamart,C4563,KLMRT,92140,23,92023,1,90,5,52546,48619,51400,5991,8.77,2.26667,48.8,-83,54223,21543,484803,64,175
35906,92,meudon,MEUDON,meudon,Meudon,M350,MTN,92190-92360,48,92048,3,96,5,45058,43694,44700,4551,9.9,2.24167,48.8083,-107,54231,21425,484827,28,179
35907,92,marnes-la-coquette,MARNES-LA-COQUETTE,marnes la coquette,Marnes-la-Coquette,M652423,MRNSLKKT,92430,47,92047,3,11,6,1647,1504,1700,473,3.48,2.175,48.8333,-177,54256,21038,484949,105,178
35908,92,issy-les-moulineaux,ISSY-LES-MOULINEAUX,issy les moulineaux,Issy-les-Moulineaux,I2425452,ISLSMLNKS,92130,40,92040,3,94,5,64355,52642,63300,15142,4.25,2.26667,48.8167,-75,54248,21609,484923,28,96
35909,92,vaucresson,VAUCRESSON,vaucresson,Vaucresson,V2625,FKRSN,92420,76,92076,3,11,6,8615,8130,8600,2797,3.08,2.175,48.8333,-204,54269,20910,485033,132,178
35910,92,rueil-malmaison,RUEIL-MALMAISON,rueil malmaison,Rueil-Malmaison,R454525,RLMLMSN,92500,63,92063,2,99,5,79426,73599,78100,5403,14.7,2.2,48.8833,-165,54309,21118,485240,24,164
35911,92,antony,ANTONY,antony,Antony,A535,ANTN,92160,2,92002,1,87,4,61793,59849,61200,6463,9.56,2.3,48.75,-44,54170,21748,484512,45,103
35912,92,plessis-robinson,LE PLESSIS-ROBINSON,le plessis robinson,Le Plessis-Robinson,L14261525,LPLSSRBNSN,92350,60,92060,1,32,5,27727,21614,24700,8083,3.43,2.26667,48.7833,-81,54204,21549,484660,86,172
